Êó∂Èó¥Êà≥ËÆ∞,Prefer Pronounce,Race and Ethnicity,Which institution/university do/did you go to?,"Year Standing (Choose the year the respondent is going to be in the next Autumn, not credit standing)",Major (Type in a Specific Major),Intended/Declared Major,"Have you had a leadership experience? If so, what kind?",NOTES:,Do you see yourself as a leader? Why or Why not?,yes/no,How do you feel about leading a team of 50+ employees as your FIRST JOB after graduation? Explain. (on a scale of 1-10 as ten being most confident),NOTES,NUMBER,Have you been to any career fair at your Institution/University? ,Have you visited the Amazon booth?,What do you remember from the Amazon booth? What did you like/dislike?,What would've improved your experience?,Do you feel that you have career opportunities at Amazon? Explain,What factors prevented you from visiting the Amazon Booth?,NOTES:,"If Amazon was looking for people in your major, would you apply for the job? Why or Why not?",NOTES:,YES/NO/Maybe
2017-7-12 下午09:12:51,She/Her,Asian,University of Washington,Junior,Pre-Engineering(Civil Engineering),Intended,No,no,No because I'm an introvert. I don't like to handle drama and bad people. ,no(lack-attributes),5,,5,No,,,,,,,"Yes. Eventhough I consider myself as an introvert, I am currently working on improving myself in any aspects of my life especially communication, relationship/partnership, project management and many more, and I believe working in a big company like Amazon might help me to enhance these skills. ","skill(communication, relationship)",yes
2017-7-12 下午09:13:48,She/Her,Asian,University of Washington,Junior,Communication,Declared,"Yes, student organization",Organizational leader,"Yes, coordinator for activity",yes(skill(collaborate)),75% confident,confident,8,Yes,No,,,,Haven't think about it,unaware,"Yes, popular company",popular,yes
2017-7-12 下午09:17:37,She/Her,Asian,University of Washington,Junior,International studies ,Declared,No,No,No,no,3,,3,No,,,,,,,Yes,no reason,yes
2017-7-12 下午09:25:44,She/Her,Indian,University of Washington,Sophmore,Computer Science,Intended,"Mentor at dream project, officer at an RSO and future RA","mentor, Small group leader, Work","Yes. Because I like taking initiative as well as bringing people with good ideas together. I also think I'm good at cooperating and conflict resolution, which helps me facilitate communication and team relationships well.",yes(skill(collaborate)),8,,8,Yes,No,,,,I haven't seen it enough. ,other,Yes I would. Because Amazon is a growing company and i love what they do.,interest(company),yes
2017-7-12 下午09:26:32,She/Her,Asian,University of Washington,Senior,Psychology,Intended,PTK officer (organize event and volunteer group),"Organizational leader, Volunteer","Yes, but not all the time. For me, leadership is the ability to lead and to follow at the same time. ",yes,8,,8,No,,,,,,,Absolutely yes. Because opportunity won't come often. :) ,experience(any),yes
2017-7-12 下午09:28:44,She/Her,Black or African American,Brigham Young University-Idaho ,Junior,Nursing ,Intended,"Yes, I was the Laurel class president in my church Young Women's program. I was also co-captain for my high school cheer-leading team. ","Small group leader, Sport leader","Yes, I have noticed that I can take charge and get things done when other around me don't know what to do or are too afraid to do it. ",yes(help),7. I would feel excited for the opportunity and I would definitely ask for help from others who are more experienced so I can effectively lead a team.,"confident, need training/experience",7,Yes,No,,,,I did not see an Amazon Booth ,can't find,"Yes, to get experience in my chosen field. ","experience(professional), interest(position)",yes
2017-7-12 下午09:30:07,She/Her,Asian,University of Washington,Junior,Biology,Intended,Yes. I am one of the offices in dance club and SASE. ,Club leader,Yes. I am not the typical kind of leader who lead a group directly. But I think I am able to lead through guidance and supporting the group behind the scene,yes(skill(guide)),4 because I am like a more introvert person and not comfortalbe of talking in front of so many people. I think it is hard for me to know everyone of them. My confident level also depends on what I am leading my group to do,"not confident, it depends",4,Yes,No,,,,I was focused on companies related to health area,unrelated,"yes, because it is a big company but I can't think of the reason why Amazon wants people from biology major ",experience(big),yes
2017-7-12 下午09:30:23,She/Her,Asian,University of Washington,Sophmore,Informatics,Intended,A class leader,Academic Assistant,Yes if I practice,yes,2.5,,3,No,,,,,,,"No, too much workload",workload,no
2017-7-12 下午09:31:56,She/Her,Asian,Seattle Central College,Junior,Mass media,Intended,"Yes, leading a teamwork at a organization","Work, Small group leader","Yes, I have the potential to lead but at the same time I can balance with all the members instead of being bossy.",yes(personality(outgoing)),8,,8,Yes,No,,,,Financial aid ,other,Definitely. I would like to use my potential and skills to work in an environment like Amazon.,"experience(any), interest(company, service)",yes
2017-7-12 下午09:39:52,She/Her,Caucasian,Pacific Lutheran University ,Junior,Education,Declared,"6 years of school and community, leadership in work experience as well",Organizational leader,"Yes, I am strong willed, very approachable and extremely outgoing. ",yes(experience),8,confident,8,Yes,No,,,,"Many booths, Amazon wasn't of interest compared to the several others I intended to visit in my short time.",not the first choice,Probably. I like experiencing new things. I like how they treat their costumers and employees and it would be a company I would be proud to work for.,interest(company),no
2017-7-12 下午10:00:51,He/Him,Black or African American,Western Washington University ,Graduate Students,Law ,Declared,Students leadership: Vice President. ,work,"Yes, I have been since when I was young. I would well. ",yes,"Yes, I will okay. ",not confident,,Yes,No,,,,I have not heard anything about them.,unaware,I will not because they are not a good company. ,experience(any),yes
2017-7-12 下午10:02:42,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Junior,Business,Intended,I've been a manager,small group leader,"Yes, because I've seen myself lead.",yes(help),Nervous. That's more than I've done before.,,,No,,,,,,,Yes. A good place to learn what NOT to do because of their employee burnout rate.,"interest(major), experience(professional)",yes
2017-7-12 下午10:05:13,She/Her, African,Highline College,Graduated from college, Criminal Justice,Declared,Yes. A youth leader in my church.,Club leader,Yes because I believe the great kind of leadership is learning how to of service to people while having a good head upon your shoulders. ,"yes(experience,help)",4,confident,4,No,,,,,,,Yes because I believe it would be a great opportunity to exercise my skills and learn more about the area that I'm planning to major in.,interest(major),yes
2017-7-12 下午10:05:35,She/Her,Asian,University of Washington,Senior,Architectural Design,Declared,Korean Chritian Club Secretary ,no,Yes. I have weekly meetings with two students to teach what I learned from my club. I am in a position that nurture freshmen and sophomore to be our next club leaders. I constantly seek how to care and influence others in love and a vision in God.,no(self),"10 I am leading a small group right now, but I am surely going to prepare to serve if that is my job to serve 50+ people. ",,10,No,,,,,,,"Yes. I believe Amazon will need people in my Major, for the students I have seen in the University of Washington not only enjoy their works, but also are perseverence, efficiently work, and take care people around in difficulties.","experience(big, resume)",yes
2017-7-12 下午10:09:08,He/Him,Asian,University of Washington,Sophmore,Informatics,Intended,No,？？？？？,"No, I don't like to take action or responsibilities of many people.",yes(skill(problem-solver)),3,prefer smaller group,3,No,,,,,,,"Yes, because Amazon is a big company that looks good on resume. It also provides a great experience for great pay.",interest(company),yes
2017-7-12 下午10:11:16,She/Her,Black or African American,North Dakota State University ,Junior,Business Administration ,Declared,Multicultural representative ,small group leader,"Yes, because I like to take charge and find solutions to problems in an effective manner.",yes(skill(manage)),Seven because I'll be a little intimidated with the amount of people.,,7,Yes,No,,,,I didn't realize that it was available.,unaware,Yes because I love Amazon and I think it will be a great opportunity to expand my horizon.,interest(company),yes
2017-7-12 下午10:21:14,She/Her,Asian,University of Illinois at Urbana-Champaign,Other,statistics,Intended,yes，leader or teammember,small group leader,yes，because I have good management skills,"yes(skill(problem-solver),help)",5,,5,Yes,No,,,,I don't know,unaware,yes，amazon is a great company,interest(major),yes
2017-7-12 下午10:22:29,She/Her,Asian,University of Washington,Senior,Cinema and Media Studies,Declared,"Future Business Leaders of America, helping colleagues at work/teamwork, directing short films for school",organizational leader,"Yes because I like to challenge myself and help others while also working with them. Moreover, if there is any issue or problem, I would step up to resolve them.",yes(skill(manage)),5,,5,No,,,,,,,"Yes because I think it will be a good opportunity to work with them because for my major, I can imagine doing commercials for Amazon and that would be something new to me because I never made a  commercial before. I can also think of other possibilities besides commercials such as filming for interviews on employers and employees at Amazon to be used as part of a program. ",interest(company),yes
2017-7-12 下午10:25:05,She/Her,Asian,Seattle Central College,Junior,Mass media,Intended,"Yes, leading a teamwork at a organization",no,"Yes, I have the potential to lead but at the same time I can balance with all the members instead of being bossy.",no(lack-attributes),8,not confident,8,Yes,No,,,,Financial aid ,other,Definitely. I would like to use my potential and skills to work in an environment like Amazon.,no reason,yes
2017-7-12 下午10:26:20,He/Him,Asian,Northeastern University,Junior,International Business,Intended,No,club leader,No I dont. Im not a leadership,yes(help),"I dont feel like Im gonna make it
4","not confident, need training/experience",4,No,,,,,,,Yeah sure why not. ,"interest(company, service)",yes
2017-7-12 下午10:27:46,She/Her,Black or African American,University of Washington,Senior,Social Work/Welfare ,Declared,Was apart of on campus RSO leadership. ,"Work, Small group leader",Yes. I think when put in situations alon side me personality I have qualities of a leader. I also enjoy stepping up and being in leadership roles help those who need it ,yes(skill),"5. That seems a bit scary, and depending if I'm given enough direction on what I need to be doing.","not confident, need training/experience",5,Yes,No,,,,I did not see one. ,can't find,"Yes. I think Amazon is a pretty company, with so many diverse aspects of it. I also think it provides so many different things and ways to their customers",interest(major),yes
2017-7-12 下午10:28:05,She/Her,Asian,University of Washington,Junior,"Law, societies and justices",Intended,Yes I was in a leadership program in my city called Advancing Leadership Youth and was able to do a lot of things for my community. Others are my part time jobs and internships in college,organizational leader,"Yes, I think I have the skills to be a leader when needed.",yes(skill(engage)),I think that's overwhelming and scary but if it's within my skill set like I already have experience in whatever the job is then I can be comfortable. I would just hope that I have some helping hand somewhere when I need help.,,,No,,,,,,,Yes I would want to work for a big company like Amazon but I don't think they'd have a job position for my major especially since I'm still in college. Most of the ones I've looked at are those that have degrees and experience already.,interest(major),no
2017-7-12 下午10:32:19,She/Her,Black or African American,University of Washington,Junior,Psychology ,Intended,Yes. UWT Somali Student Association Media Coordinator ,no,Yes. I have the skill sets to engage in a team and be relied on to hold a position in which I am relied on heavily. ,yes(if practice),1,not confident,1,Yes,No,,,,Wasn't offering a position I was interested in. ,unrelated,No. I want to work with youth. ,interest(company),yes
2017-7-12 下午10:40:30,She/Her,Caucasian,University of Washington,Junior,English,Intended,No.,"club, ",I have potential to be a leader if I practiced my people skills. I'm competent at completing tasks but coordinating with people is the challenge. ,"yes(skill(decision, manage))",5. I'm not very good socially so leading others would be intimidating.,need training/experience,5,No,,,,,,,Yes. Amazon is a prestigious company that I've heard treats its workers well.,experience(big),yes
2017-7-12 下午10:40:59,She/Her,Asian,University of Washington,Junior,psychology / communication,Declared,yes. I am in a student organization and I am the Vice President in it. We organized several activities and I am always the leader of the group as well.,"club, ","I think I am, because I can make decisions quite soon and analyze the pros and cons properly. Also, I know how to allocate the people pretty well.",no(self),"4. Although I've been a leader in a student organization, there're a lot of differences between being leaders at school and at a company. I think after graduation, I would like to learn more from the predecessors, know about the working rules more, and then become a leader in 3 years. ",,4,Yes,No,,,,I haven't plan to find a job or an internship yet.,not ready,"I think I will, it will be practical to apply the knowledge I learnt in class. Also, Amazon is a big company, I can learn more advanced tech and opinions there. ",interest(company),yes
2017-7-12 下午10:43:04,She/Her,Asian,University of Washington,Sophmore,Design,Declared,The president of a high school club,no,No. Cuz I can't have people following me.,yes,3,confident,3,No,,,,,,,Yeah. Cuz it's Amazon.,no reason,yes
2017-7-12 下午10:43:12,She/Her,Black or African American,South Seattle College ,Graduated from college,Associate of arts ,Declared,No ,no,Yea ,no(self),Pretty confident ,,,Yes,No,,,,Time ,other,Yea ,interest(position),yes
2017-7-12 下午10:43:38,He/Him,Black or African American,University of Washington,Senior,Computer Science,Declared,None,sport,"Not really, I prefer to stay away from the spotlight",yes(skill(organize),5,not confident,5,Yes,No,,,,Long line,long line,Probably. Software development jobs at Amazon are pretty prestigious,experience(any),yes
2017-7-12 下午10:57:27,She/Her,Caucasian,University of Washington,Junior,"Biology (molecular, cellular, developmental)",Intended,I was a captain for track and cross country. ,Sport leader,"Heck yea! I feel that the coaches made a great choice for me as a leader of our xc team because I grew into the role quite well. I was well organized, on top of recruiting new people, effective at communicating, relatable to the other girls, good listener and good role model overall. I set a good example and others looked up to me as a leader and role model. ",,"Not very confident at alllll! Like a three maybe. I think the biggest struggles would be getting my voice heard and knowing how the system runs. Because the major hurdle for working in a new place is not knowing where anything is, how the logistics work, what protocols there are, and for me that can be really stressful so I always have to awkwardly ask people how to do stuff. There's also the problem of if they're your age or older than you. Coming straight out of college and being one of the youngest in the workforce may mean that older more seasoned employees don't respect you as much as they should if you're their leader. ",,3,Yes,No,,,,Didn't know it was there. Wasn't at the career fair I went to. ,unaware,"Yeah for sure. I'm not really sure what I would do, but if I was looking for a job, any decent job is a job worth atrying for. Never hurts to apply and the more places you apply, the sooner you'll find a job in theory. Even if it was outside of specifically biology (my major), I would still probably go for it if I had a good chance of getting hired because new experiences might expose me to something I never realized I enjoyed before. ",experience(any),yes
2017-7-12 下午11:08:37,He/Him,Asian,University of Washington,Freshman,Statistics,Intended,Yes. ASUW (Associated Student Body),Academic Assistant,Yes. I speak loud.,,8,,8,Yes,No,,,,Where is that?,can't find,"Yes, why not give it a try?",experience(any),yes
2017-7-12 下午11:09:15,She/Her,Asian,Indiana University Bloomington,Junior,"media management, industry, and policy",Declared,no,no,"no, because actually I am weak in deciding things.",,1. Actually I don't have any confidence to lead employees because I am willing to do what my superior asked.,not confident,1,No,,,,,,,"Yes, my major includes management, industry, and policy so that fits.",interest(major),yes
2017-7-12 下午11:10:06,He/Him,Black or African American,Bulacan State University ,Other,Business Administration ,Declared,Government official,organizational leader,Yes. Because I have influence over followers ,,10,,10,Yes,No,,,,Not interested ,unrelated,"No, not interested ",interest(company),no
2017-7-12 下午11:14:33,She/Her,Black or African American,South Seattle College ,Sophmore,Not decided,Intended,No,no,Yes because I believe leadership is very important,,"I probably wouldn't want to dive into a leadership role right after graduation, I'd want to take time and be comfortable. 7/10",Need training/experience,7,No,,,,,,,Yes because they're a company that offer many opportunities ,interest(company),yes
2017-7-12 下午11:17:34,She/Her,Asian,University of Washington,Junior,Psychology,Intended,"Yes, Teacher's Assistant for elementary school and team captain for high school volleyball","Sport leader, Academic assistant","Not really, because I'm a little intimidated by power",,4,,4,Yes,Yes,They gave a lot of stuff. I have a friend who works there so it was nice seeing her. Didn't really dislike anything,Nothing,"No, I don't think that the type of work at Amazon is something that is in my interest. I don't really know what opportunities are available ",,,"Maybe, I don't know much about Amazon jobs",no reason,maybe
2017-7-12 下午11:28:40,She/Her,Asian,University of Washington,Senior,ECON,Declared,"yes, Student Organization Treasurer",organizational leader,"no, because I like to follow the rules instead of being an organizer  ",,5. I am usually nervous around people and I can't handle that much pressure. ,not confident,5,No,,,,,,,"Yes, because it's a big corporate company ",experience(big),yes
2017-7-12 下午11:37:56,He/Him,Asian,University of Washington,Junior,Informatics,Declared,I'm currently serving as the president of a student organization at UW.,club leader,"The term ""leader"" seems to be a bit tricky to me. I don't quite believe the notion that someone tends to lead someone regarding everyone has his or her own free will. The criterion of good leadership might be, if you will, followship, the willingness of people to follow the leader, so I can't really say for myself whether I'm a good leader. ",,"6. On one hand, it can be tough since, sadly, the organization politics ubiquitously exists at workplace. People see fresh-grads as newbies and you are saying that you are gonna be their leader lol.. (I'd say good luck bro..)  It's definitely gonna get better as you ramp up and learn how things work there. On the other hand, it can be just fine. I don't see that leaders are supposed to be the most experienced ones. Leadership is about positivity, inspiration, and critical decision making. As a leader, I mean, being at the position of a leader, no one's gonna neither judge you nor teach your how to be a leader so just chill out and hang in there. if you are truly a leader, just do what you think is right, and people would follow. It sounds like not half bad right. ",confident,6,Yes,Yes,The line was definitely a pain in the ass. ,It'd be awesome if Amazon sends more representatives at career fairs so questions can be answered in details. ,"Yes I do. I'm currently working at a startup company as a software engineer where our ambition is huge. Everything is going well and we have something to do with a newly launched Amazon program. Our CEO is trying to connect with Amazon at some points in the near future and Amazon might be interested. If everything goes well, bang, there we go. :)",,,"Yes I will. as a software engineer, I'm driven to build technologies that truly work for people and make a difference and Amazon seems to be doing that right now.","interest(position, service)",yes
2017-7-12 下午11:45:08,She/Her,Asian,Saint Martins University ,Junior,Chemistry ,Declared,No,,Yes because i can ,,It would be a 5 because I would be nervous and I don't know how to do at first but as time goes I would be confident. ,Need training/experience,5,Yes,No,,,,Never heard of it ,Can’t find,Yes ,no reason,yes
2017-7-12 下午11:53:39,She/Her,Asian,University of Washington,Senior,math and econ,Declared,no,,Yes. I prefer coordinate and arrange stuff,,"5 will be my confidence level. If I have more knowledge and experience than these 50 emploees, I will be more confident.",Need training/experience,5,Yes,No,,,,Interest,Unrelated,I will apply for the accountant.,interest(position),yes
2017-7-12 下午11:53:41,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Sophmore,Electrical Engineering,Declared,"Omega Delta Phi, Inc. Sceretary and Internal VP",,"I do, and I believe it is because I have the ability to both lead and follow. The greatest leader is the first follower.",,7,,7,Yes,Yes,"I remember receiving a free t-shirt, and being introduced to different opportunities for CSE and EE majors.","Shorter presentation, and a more vibrant person presenting","Yes, because I am seeking a degree in an area which Amazon has previously expressed interest in.",,,"Definitely, I love the Seattle area and very much appreciate the change Amazon is making through customer-friendly services.","interest(location, service)",yes
2017-7-12 下午11:57:11,She/Her,Asian,University of Washington,Senior,Economics,Declared,The head of Broadcast station in primary school.,,Yes. Because I love commanding and I am always the boss in my apartment building.,,No. That is too many people to lead. I am scared.,not confident,,Yes,Yes,There were too many people. And I was tired of waiting at the back of a long line to be interviewed. Therefore I left.,More interviewers are preferred. Therefore students may have more time of self-introduction and chatting with them.,"No, because I am not an engineering student.",,,No. Because they treat their employees like shit.,workload,no
2017-7-13 上午12:00:42,She/Her,"Asian, Caucasian",Bellevue College,Sophmore,Radiology,Intended,"Yes, lead groups. Did demonstrations, encourage conversations, and gave tours. ",,"No, because I do not have the best confidence and skill in being able to lead well if something does not go as planned that I did not prepare for. ",,My confidence would be a 3 on the scale. It is low because I have never lead a team of 50+ before and I know I will be unable to lead that many people by myself. ,not confident,3,No,,,,,,,"No, because I would like to work in healthcare/hospital. ",interest(company),no
2017-7-13 上午12:01:11,He/Him,Asian,Seattle Central College,Sophmore,Design,Intended,Yes. When I am playing league of legends.,,No. Because my girlfriend is my boss.,,It might be fine. I play clash of clans a lot and it might be easy to lead a team of 50+ employees.,confident,,No,,,,,,,Yes. Because my net is wide and I would like to capture more fish.,experience(any),yes
2017-7-13 上午12:20:30,He/Him,Asian,University of Washington,Senior,Informatics,Intended,"Yes, I was on the executive team of a student organization before.",,"Yes, because I think I have the skill to get people to work together.",,I'm pretty intimidated by it because I don't know if I can be a good leader as my first job. (5),not confident,5,Yes,No,,,,I didn't have my resume ready so I didn't see a purpose to visit the booth.,Not ready,"Yes, because Amazon is a well-known company in the technology industry.",popular,yes
2017-7-13 上午01:00:11,She/Her,Black or African American,University of Washington,Junior,Social welfare ,Intended,No,,"Yes, I'm a little shy but i ",,"3, this is so wild. That would be so nerve wrecking, the thought honestly makes me sick. ",not confident,3,No,,,,,,,"Yeah, and because I need to pay these bills and provide for my family. It would be great of Amazon to provide this opportunity. ","pay, experience(any)",yes
2017-7-13 上午01:34:19,She/Her,Asian,University of Washington,Junior,English ,Declared,N/A,,I think of myself as an emerging leader in that I am still learning how to create space for others and myself to practice and assert intellectual curiosity.,,5 - I think that would be initially a difficult job to transition to right out of college.,not confident,5,Yes,No,,,,I didn't know about it.,Unaware,Yes! I think working for Amazon provides amazing opportunities.,experience(any),yes
2017-7-13 上午02:54:16,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Junior,Informatics,Intended,"Yes, I was captain of many soccer teams, along with being a leader in many academic situations.",,"Yes, I tend to get along with everyone and push people past their comfort zone in a comfortable manner. People trust in me, and I have trust in them.I make sure everyone is on the same track, and take every idea into consideration. ",,"I feel as if I would be at an 8, it would me a little nerve wrecking since it would be  a new job, but I feel my past experience has well prepared me. Not to mention I would probably be really young compared to everyone else.",confident,8,No,,,,,,,"Yes, I believe that Amazon would be a great place to start gaining experience and learning what is needed in a job. ",experience(any),yes
2017-7-13 上午03:32:58,He/Him,Black or African American,University of Delaware,Sophmore,Marketing,Declared,No leadership experience,,I do not because im too shy to give orders to people.,,3. I feel like my social anxiety might make it hard for me to be an effective leader.,not confident,3,No,,,,,,,I would apply because working in a huge industry related to amazon would look good in my resume. ,experience(resume),yes
2017-7-13 上午04:40:22,He/Him,Asian,Michigan State University,Senior,Business,Declared,Yesp,,Yes,,5yes,,5,Yes,No,,,,NA,other,Yes,no reason,yes
2017-7-13 上午07:00:49,She/Her,Asian,University of Washington,Junior,Biology,Declared,No. ,,"Yes, but i havent taken much leadership roles so it seems as though i won't be a good one ",,3,,3,No,,,,,,,"Yes. I want to get into reseach so if amazon was looking for that, then definitley. Its a big company with good benefits & stability ",interest(company),yes
2017-7-13 上午08:38:46,She/Her,Asian,University of Washington,Sophmore,Biochemistry,Declared,No,,No because I feel uncomfortable when people follow me.,,3,,3,No,,,,,,,Probably not because I heard working at Amazon is really stressful.,workload,no
2017-7-13 上午08:56:05,She/Her,Asian,University of Washington ,Freshman,Informatics ,Declared,"President of my school student council, Vice President/Chair for Model united nation conferences, Tech team leader, Community Service group leader ",,Yes because I think I am open minded and work well with people. I consider myself quite organize and approachable.,,8,,8,No,,,,,,,"Yes I would because I feel my major will come in handy for my job. Also, the company's name speaks for itself.","interest(company), popular",yes
2017-7-13 上午08:56:24,She/Her,Asian,University of Washington,Junior,Psychology,Declared,"Sort of, not many",,"Yes, I'm very willing to help people. But only under certain circumstances, if I know what I should and shouldn't do, I will be fine. But if it's some situation I'm not super familiar with, I would step back and watch other people to do it. I lack confidence sometime. ",,"8. If there is training before that to improve my confidence, yes.",Need training/experience,8,No,,,,,,,"Yes, it apparently could build my resume and improve my working skill at such big company. But I hope they are really hiring people from non-stem major, not just saying.","interest(major), experience(big, resume)",yes